-------------------------------------
Translated Report (Full Report Below)
-------------------------------------

Process:               java [4515]
Path:                  /Users/USER/Library/Java/JavaVirtualMachines/azul-11.0.13/Contents/Home/bin/java
Identifier:            java
Version:               ???
Code Type:             X86-64 (Native)
Parent Process:        Exited process [4514]
Responsible:           squishide [1463]
User ID:               501

Date/Time:             2022-12-29 11:28:34.9711 +0200
OS Version:            macOS 13.0.1 (22A400)
Report Version:        12
Bridge OS Version:     7.0 (20P420)
Anonymous UUID:        FC39F471-AA10-B7BA-0CDC-2F2B1E387C07


Time Awake Since Boot: 10000 seconds

System Integrity Protection: disabled

Crashed Thread:        0  Dispatch queue: com.apple.main-thread

Exception Type:        EXC_BAD_ACCESS (SIGBUS)
Exception Codes:       KERN_PROTECTION_FAILURE at 0x00000001034c0008
Exception Codes:       0x0000000000000002, 0x00000001034c0008

Termination Reason:    Namespace SIGNAL, Code 10 Bus error: 10
Terminating Process:   exc handler [4515]

VM Region Info: 0x1034c0008 is in 0x1034c0000-0x1034c1000;  bytes after start: 8  bytes before end: 4087
      REGION TYPE                    START - END         [ VSIZE] PRT/MAX SHRMOD  REGION DETAIL
      shared memory               1034bf000-1034c0000    [    4K] r--/r-- SM=SHM
--->  VM_ALLOCATE                 1034c0000-1034c1000    [    4K] ---/rwx SM=NUL
      VM_ALLOCATE                 1034c1000-1034c2000    [    4K] r--/rwx SM=PRV

Thread 0 Crashed::  Dispatch queue: com.apple.main-thread
0   ???                           	       0x10e1d7aa0 ???
1   ???                           	       0x10dab2cc9 ???
2   libjvm.dylib                  	       0x10469a49d JavaCalls::call_helper(JavaValue*, methodHandle const&, JavaCallArguments*, Thread*) + 519
3   libjvm.dylib                  	       0x1046e606a jni_invoke_static(JNIEnv_*, JavaValue*, _jobject*, JNICallType, _jmethodID*, JNI_ArgumentPusher*, Thread*) + 266
4   libjvm.dylib                  	       0x1046e7629 jni_CallStaticBooleanMethodV + 389
5   QtJambi                       	       0x133e42961 Java::QtJambi::ClassAnalyzerUtility::isGeneratedClass(JNIEnv_*, ...) + 177
6   QtJambi                       	       0x133e83ee3 JavaAPI::resolveClosestQtSuperclass(JNIEnv_*, _jclass*, _jobject*) + 435
7   QtJambi                       	       0x133ec7ccc SuperTypeInfos::fromClass(JNIEnv_*, _jclass*) + 460
8   QtJambi                       	       0x133de2a1d Java_io_qt_internal_NativeUtility_getInterfaces + 61
9   ???                           	       0x10dac1a10 ???
10  ???                           	       0x10dabbfc0 ???
11  ???                           	       0x10dabbfc0 ???
12  ???                           	       0x10dabbfc0 ???
13  ???                           	       0x10dabc267 ???
14  ???                           	       0x10dabc267 ???
15  ???                           	       0x10dabc267 ???
16  ???                           	       0x10dabc267 ???
17  ???                           	       0x10dabc267 ???
18  ???                           	       0x10dabc267 ???
19  ???                           	       0x10dabc267 ???
20  ???                           	       0x10dab2cc9 ???
